title,price,savings_per,product_link
HAP Girls' Cotton Bloomers (Pack of 10),500,-70%,https://www.amazon.in/Hap-Cotton-Bloomer-Drawer-Multicolour/dp/B01EFX75GY/ref=sr_1_291?dib=eyJ2IjoiMSJ9.dAuEImsuq6pwi0ZXXc00iWIV9tMCynY74oiCxuLRm54z2LIy5dP8KARKQEVcH2g5rZRVsiecJxnuPzLoEnOQsmppW34cZ7_hbpUfc5oVWUzst8L0kFq2_xMox8fq5ZZLJlF_kNagrDgGcdzJxW4JYzU8btdzowcKKeivHFLZS8KkVHA1heX30ibuK_FqIGUM7_98YiKhvuVcif8xUPqEPutJ7C8leWT3XcAc-DCK1ACa4anZhksW63WqyADgGpZRqWDbG4W8RnRMgqtAtrntA-Z6nz6C9G464Xl-mbdSIr4.afznemXo5_4t-UEgB7w0YGuT69cFpFxhOLt0ybtWR-w&dib_tag=se&keywords=baby+clothes+for+girls+6-12+month&qid=1715329535&sr=8-291
MINITATU Baby-Girls Cotton Cartoon Clothing Set Pack of 1,479,-74%,https://www.amazon.in/MINITATU-Navy-Blue-Sleeve-T-Shirt-Pajamas/dp/B09BBFZVQX/ref=sr_1_292?dib=eyJ2IjoiMSJ9.dAuEImsuq6pwi0ZXXc00iWIV9tMCynY74oiCxuLRm54z2LIy5dP8KARKQEVcH2g5rZRVsiecJxnuPzLoEnOQsmppW34cZ7_hbpUfc5oVWUzst8L0kFq2_xMox8fq5ZZLJlF_kNagrDgGcdzJxW4JYzU8btdzowcKKeivHFLZS8KkVHA1heX30ibuK_FqIGUM7_98YiKhvuVcif8xUPqEPutJ7C8leWT3XcAc-DCK1ACa4anZhksW63WqyADgGpZRqWDbG4W8RnRMgqtAtrntA-Z6nz6C9G464Xl-mbdSIr4.afznemXo5_4t-UEgB7w0YGuT69cFpFxhOLt0ybtWR-w&dib_tag=se&keywords=baby+clothes+for+girls+6-12+month&qid=1715329535&sr=8-292
BUMZEE White Girls Half Sleeves Thigh Length Romper With Headband (Peb9031),619,-52%,https://www.amazon.in/BUMZEE-Sleeves-Length-Romper-Headband/dp/B0CTSVNH88/ref=sr_1_290?dib=eyJ2IjoiMSJ9.dAuEImsuq6pwi0ZXXc00iWIV9tMCynY74oiCxuLRm54z2LIy5dP8KARKQEVcH2g5rZRVsiecJxnuPzLoEnOQsmppW34cZ7_hbpUfc5oVWUzst8L0kFq2_xMox8fq5ZZLJlF_kNagrDgGcdzJxW4JYzU8btdzowcKKeivHFLZS8KkVHA1heX30ibuK_FqIGUM7_98YiKhvuVcif8xUPqEPutJ7C8leWT3XcAc-DCK1ACa4anZhksW63WqyADgGpZRqWDbG4W8RnRMgqtAtrntA-Z6nz6C9G464Xl-mbdSIr4.afznemXo5_4t-UEgB7w0YGuT69cFpFxhOLt0ybtWR-w&dib_tag=se&keywords=baby+clothes+for+girls+6-12+month&qid=1715329535&sr=8-290
BABY GO 100% Soft Cotton Front Open tees/Snap Button tees for Baby boy & Baby Girl/Summer Clothes/Dress for Baby/New Born/infent wear/for Baby Boy & Girls/Combo Pack of 3 pcs tees,379,-71%,https://www.amazon.in/GO-Baby-Girls-Regular-T-Shirt-GOBS20-2514-9/dp/B08Q3Z14SY/ref=sr_1_289?dib=eyJ2IjoiMSJ9.dAuEImsuq6pwi0ZXXc00iWIV9tMCynY74oiCxuLRm54z2LIy5dP8KARKQEVcH2g5rZRVsiecJxnuPzLoEnOQsmppW34cZ7_hbpUfc5oVWUzst8L0kFq2_xMox8fq5ZZLJlF_kNagrDgGcdzJxW4JYzU8btdzowcKKeivHFLZS8KkVHA1heX30ibuK_FqIGUM7_98YiKhvuVcif8xUPqEPutJ7C8leWT3XcAc-DCK1ACa4anZhksW63WqyADgGpZRqWDbG4W8RnRMgqtAtrntA-Z6nz6C9G464Xl-mbdSIr4.afznemXo5_4t-UEgB7w0YGuT69cFpFxhOLt0ybtWR-w&dib_tag=se&keywords=baby+clothes+for+girls+6-12+month&qid=1715329535&sr=8-289
BUMZEE Red Girls Cap Sleeves Cotton Frock,487,-61%,https://www.amazon.in/BUMZEE-Girls-Sleeves-Cotton-Frock/dp/B0C2KXFC8F/ref=sr_1_288?dib=eyJ2IjoiMSJ9.dAuEImsuq6pwi0ZXXc00iWIV9tMCynY74oiCxuLRm54z2LIy5dP8KARKQEVcH2g5rZRVsiecJxnuPzLoEnOQsmppW34cZ7_hbpUfc5oVWUzst8L0kFq2_xMox8fq5ZZLJlF_kNagrDgGcdzJxW4JYzU8btdzowcKKeivHFLZS8KkVHA1heX30ibuK_FqIGUM7_98YiKhvuVcif8xUPqEPutJ7C8leWT3XcAc-DCK1ACa4anZhksW63WqyADgGpZRqWDbG4W8RnRMgqtAtrntA-Z6nz6C9G464Xl-mbdSIr4.afznemXo5_4t-UEgB7w0YGuT69cFpFxhOLt0ybtWR-w&dib_tag=se&keywords=baby+clothes+for+girls+6-12+month&qid=1715329535&sr=8-288
Bold N Elegant Cotton Half Sleeve Teddy Bear Patch Tunic Pinafore Pinny Midi Dress Frock for Infant Toddler Baby Girls,429,-71%,https://www.amazon.in/Bold-Elegant-Cotton-Pinafore-Toddler/dp/B0B4DZZJJS/ref=sr_1_287?dib=eyJ2IjoiMSJ9.dAuEImsuq6pwi0ZXXc00iWIV9tMCynY74oiCxuLRm54z2LIy5dP8KARKQEVcH2g5rZRVsiecJxnuPzLoEnOQsmppW34cZ7_hbpUfc5oVWUzst8L0kFq2_xMox8fq5ZZLJlF_kNagrDgGcdzJxW4JYzU8btdzowcKKeivHFLZS8KkVHA1heX30ibuK_FqIGUM7_98YiKhvuVcif8xUPqEPutJ7C8leWT3XcAc-DCK1ACa4anZhksW63WqyADgGpZRqWDbG4W8RnRMgqtAtrntA-Z6nz6C9G464Xl-mbdSIr4.afznemXo5_4t-UEgB7w0YGuT69cFpFxhOLt0ybtWR-w&dib_tag=se&keywords=baby+clothes+for+girls+6-12+month&qid=1715329535&sr=8-287
BUMZEE Lavender & Off White Girls Sleeveless T-Shirt & Capri Set (Peb9144),599,-49%,https://www.amazon.in/BUMZEE-Lavender-White-Sleeveless-T-Shirt/dp/B0CV7S8N7B/ref=sr_1_286?dib=eyJ2IjoiMSJ9.dAuEImsuq6pwi0ZXXc00iWIV9tMCynY74oiCxuLRm54z2LIy5dP8KARKQEVcH2g5rZRVsiecJxnuPzLoEnOQsmppW34cZ7_hbpUfc5oVWUzst8L0kFq2_xMox8fq5ZZLJlF_kNagrDgGcdzJxW4JYzU8btdzowcKKeivHFLZS8KkVHA1heX30ibuK_FqIGUM7_98YiKhvuVcif8xUPqEPutJ7C8leWT3XcAc-DCK1ACa4anZhksW63WqyADgGpZRqWDbG4W8RnRMgqtAtrntA-Z6nz6C9G464Xl-mbdSIr4.afznemXo5_4t-UEgB7w0YGuT69cFpFxhOLt0ybtWR-w&dib_tag=se&keywords=baby+clothes+for+girls+6-12+month&qid=1715329535&sr=8-286
Kuchipoo © Disney Baby Girl Regular Fit Cotton T-Shirts,672,-65%,https://www.amazon.in/Kuchipoo-Regular-T-Shirts-Disney-TSHRT-349-Multi-Colored/dp/B0BGSKPJ7X/ref=sr_1_284?dib=eyJ2IjoiMSJ9.dAuEImsuq6pwi0ZXXc00iWIV9tMCynY74oiCxuLRm54z2LIy5dP8KARKQEVcH2g5rZRVsiecJxnuPzLoEnOQsmppW34cZ7_hbpUfc5oVWUzst8L0kFq2_xMox8fq5ZZLJlF_kNagrDgGcdzJxW4JYzU8btdzowcKKeivHFLZS8KkVHA1heX30ibuK_FqIGUM7_98YiKhvuVcif8xUPqEPutJ7C8leWT3XcAc-DCK1ACa4anZhksW63WqyADgGpZRqWDbG4W8RnRMgqtAtrntA-Z6nz6C9G464Xl-mbdSIr4.afznemXo5_4t-UEgB7w0YGuT69cFpFxhOLt0ybtWR-w&dib_tag=se&keywords=baby+clothes+for+girls+6-12+month&qid=1715329535&sr=8-284
NammaBaby Premium Baby Girls Short Sleeves Frock Dress - Set of 1,420,-79%,https://www.amazon.in/NammaBaby-Girls-Line-Pink_6-12-Months/dp/B08634SMND/ref=sr_1_283?dib=eyJ2IjoiMSJ9.dAuEImsuq6pwi0ZXXc00iWIV9tMCynY74oiCxuLRm54z2LIy5dP8KARKQEVcH2g5rZRVsiecJxnuPzLoEnOQsmppW34cZ7_hbpUfc5oVWUzst8L0kFq2_xMox8fq5ZZLJlF_kNagrDgGcdzJxW4JYzU8btdzowcKKeivHFLZS8KkVHA1heX30ibuK_FqIGUM7_98YiKhvuVcif8xUPqEPutJ7C8leWT3XcAc-DCK1ACa4anZhksW63WqyADgGpZRqWDbG4W8RnRMgqtAtrntA-Z6nz6C9G464Xl-mbdSIr4.afznemXo5_4t-UEgB7w0YGuT69cFpFxhOLt0ybtWR-w&dib_tag=se&keywords=baby+clothes+for+girls+6-12+month&qid=1715329535&sr=8-283
Youstylo Baby Girls Kids Toddler Cotton Spaghetti Neck Striped Top Frock and Shorts Set Casual Latest Summer Clothing Top Frock & Bottom Dress Set,699,-50%,https://www.amazon.in/Youstylo-Toddler-Spaghetti-Striped-Clothing/dp/B0C5F5BS83/ref=sr_1_282?dib=eyJ2IjoiMSJ9.dAuEImsuq6pwi0ZXXc00iWIV9tMCynY74oiCxuLRm54z2LIy5dP8KARKQEVcH2g5rZRVsiecJxnuPzLoEnOQsmppW34cZ7_hbpUfc5oVWUzst8L0kFq2_xMox8fq5ZZLJlF_kNagrDgGcdzJxW4JYzU8btdzowcKKeivHFLZS8KkVHA1heX30ibuK_FqIGUM7_98YiKhvuVcif8xUPqEPutJ7C8leWT3XcAc-DCK1ACa4anZhksW63WqyADgGpZRqWDbG4W8RnRMgqtAtrntA-Z6nz6C9G464Xl-mbdSIr4.afznemXo5_4t-UEgB7w0YGuT69cFpFxhOLt0ybtWR-w&dib_tag=se&keywords=baby+clothes+for+girls+6-12+month&qid=1715329535&sr=8-282
