title,price,savings_per,product_link
"Amazon Basics Wired Mouse | 1000 DPI Optical Sensor | Plug and Play | Compatible with PC, Laptop (Black)",139,-60%,https://www.amazon.in/Amazon-Basics-Optical-Sensor-Compatible/dp/B0C9TJ1ZW2/ref=sr_1_19?dib=eyJ2IjoiMSJ9.hW6LOtg9julE8rQYJd1l-BMX96bssyw4FggCh95LoaBV0lITno6sv2Vs4EdZxxY_AMAiF4OrEYvk7m5okg2rIf9ZYjjAG3NFGzaQcp_pmmxkDkGSNenFmeSncP2VUbMUPYhpUTlzvVtpkcPD7XGlI30X-P3llhFcbrlFPfNRzGAnCTfwgMWkuPK2aCGeLK0Eu4aaHNJJk6jOHz-bN47yRUPx9AR4dcCIdfZXoRBftMk.crSjCr4j2K8W2744DGPPptBO44BIBDXJCR13ylvyMNc&dib_tag=se&keywords=mouse&qid=1715327411&sr=8-19
"Logitech B100 Wired USB Mouse, 3 yr Warranty, 800 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black",249,-34%,https://www.amazon.in/Logitech-B100-Optical-Mouse-Black/dp/B003L62T7W/ref=sr_1_18?dib=eyJ2IjoiMSJ9.hW6LOtg9julE8rQYJd1l-BMX96bssyw4FggCh95LoaBV0lITno6sv2Vs4EdZxxY_AMAiF4OrEYvk7m5okg2rIf9ZYjjAG3NFGzaQcp_pmmxkDkGSNenFmeSncP2VUbMUPYhpUTlzvVtpkcPD7XGlI30X-P3llhFcbrlFPfNRzGAnCTfwgMWkuPK2aCGeLK0Eu4aaHNJJk6jOHz-bN47yRUPx9AR4dcCIdfZXoRBftMk.crSjCr4j2K8W2744DGPPptBO44BIBDXJCR13ylvyMNc&dib_tag=se&keywords=mouse&qid=1715327411&sr=8-18
"ZEBRONICS New Launch Uzi High Precision Wired Gaming Mouse with 4 Buttons, Rainbow LED Lights, DPI Switch with 800/1200/1600/2400 DPI, Plug & Play, 3 Million clicks, Lightweight Mouse",249,-50%,https://www.amazon.in/ZEBRONICS-Precision-Buttons-Rainbow-Lightweight/dp/B0CW6HX484/ref=sr_1_17?dib=eyJ2IjoiMSJ9.hW6LOtg9julE8rQYJd1l-BMX96bssyw4FggCh95LoaBV0lITno6sv2Vs4EdZxxY_AMAiF4OrEYvk7m5okg2rIf9ZYjjAG3NFGzaQcp_pmmxkDkGSNenFmeSncP2VUbMUPYhpUTlzvVtpkcPD7XGlI30X-P3llhFcbrlFPfNRzGAnCTfwgMWkuPK2aCGeLK0Eu4aaHNJJk6jOHz-bN47yRUPx9AR4dcCIdfZXoRBftMk.crSjCr4j2K8W2744DGPPptBO44BIBDXJCR13ylvyMNc&dib_tag=se&keywords=mouse&qid=1715327411&sr=8-17
"HP M160 USB Wired Gaming Optical Mouse with LED Backlight, 1000 DPI, 3 Buttons and Press Life Up to 3 Million Clicks, 1 Year Warranty (843W8AA, Black)",248,-69%,https://www.amazon.in/HP-Optical-Backlight-Warranty-843W8AA/dp/B0CCJMBQSM/ref=sr_1_16?dib=eyJ2IjoiMSJ9.hW6LOtg9julE8rQYJd1l-BMX96bssyw4FggCh95LoaBV0lITno6sv2Vs4EdZxxY_AMAiF4OrEYvk7m5okg2rIf9ZYjjAG3NFGzaQcp_pmmxkDkGSNenFmeSncP2VUbMUPYhpUTlzvVtpkcPD7XGlI30X-P3llhFcbrlFPfNRzGAnCTfwgMWkuPK2aCGeLK0Eu4aaHNJJk6jOHz-bN47yRUPx9AR4dcCIdfZXoRBftMk.crSjCr4j2K8W2744DGPPptBO44BIBDXJCR13ylvyMNc&dib_tag=se&keywords=mouse&qid=1715327411&sr=8-16
HP M070 Ergonomic Wired Mouse/ 1.5M USB Cable/Optical Engine/Accurate Positioning/ 1600 DPI with Adjustable DPI 1000-1200/3 Years Warranty,249,-64%,https://www.amazon.in/HP-Ergonomic-Positioning-Adjustable-1000-1200/dp/B0C8B8M3TV/ref=sr_1_15?dib=eyJ2IjoiMSJ9.hW6LOtg9julE8rQYJd1l-BMX96bssyw4FggCh95LoaBV0lITno6sv2Vs4EdZxxY_AMAiF4OrEYvk7m5okg2rIf9ZYjjAG3NFGzaQcp_pmmxkDkGSNenFmeSncP2VUbMUPYhpUTlzvVtpkcPD7XGlI30X-P3llhFcbrlFPfNRzGAnCTfwgMWkuPK2aCGeLK0Eu4aaHNJJk6jOHz-bN47yRUPx9AR4dcCIdfZXoRBftMk.crSjCr4j2K8W2744DGPPptBO44BIBDXJCR13ylvyMNc&dib_tag=se&keywords=mouse&qid=1715327411&sr=8-15
"ZEBRONICS PHERO Wired Gaming Mouse with up to 1600 DPI, Rainbow LED Lights, DPI Switch, High Precision, Plug & Play, 4 Buttons",199,-69%,https://www.amazon.in/ZEBRONICS-Gaming-Rainbow-Precision-Buttons/dp/B0CG13FJ5M/ref=sr_1_14?dib=eyJ2IjoiMSJ9.hW6LOtg9julE8rQYJd1l-BMX96bssyw4FggCh95LoaBV0lITno6sv2Vs4EdZxxY_AMAiF4OrEYvk7m5okg2rIf9ZYjjAG3NFGzaQcp_pmmxkDkGSNenFmeSncP2VUbMUPYhpUTlzvVtpkcPD7XGlI30X-P3llhFcbrlFPfNRzGAnCTfwgMWkuPK2aCGeLK0Eu4aaHNJJk6jOHz-bN47yRUPx9AR4dcCIdfZXoRBftMk.crSjCr4j2K8W2744DGPPptBO44BIBDXJCR13ylvyMNc&dib_tag=se&keywords=mouse&qid=1715327411&sr=8-14
HP Z3700 Wireless Optical Mouse with USB Receiver and 2.4GHz Wireless Connection/ 1200DPI / 16 Months Long Battery Life/Ambidextrous and Slim Design (Modern Gold),799,-47%,https://www.amazon.in/HP-Z3700-Wireless-Mouse-Modern/dp/B01KK0HU3Y/ref=sr_1_12_sspa?dib=eyJ2IjoiMSJ9.hW6LOtg9julE8rQYJd1l-BMX96bssyw4FggCh95LoaBV0lITno6sv2Vs4EdZxxY_AMAiF4OrEYvk7m5okg2rIf9ZYjjAG3NFGzaQcp_pmmxkDkGSNenFmeSncP2VUbMUPYhpUTlzvVtpkcPD7XGlI30X-P3llhFcbrlFPfNRzGAnCTfwgMWkuPK2aCGeLK0Eu4aaHNJJk6jOHz-bN47yRUPx9AR4dcCIdfZXoRBftMk.crSjCr4j2K8W2744DGPPptBO44BIBDXJCR13ylvyMNc&dib_tag=se&keywords=mouse&qid=1715327411&sr=8-12-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
"Logitech Pebble Mouse 2 M350s Slim Bluetooth Wireless Mouse, Portable, Lightweight, Customisable Button, Quiet Clicks, Easy-Switch for Windows, macOS, iPadOS, Android, Chrome OS - Tonal Graphite","1,494",-35%,https://www.amazon.in/Logitech-Bluetooth-Lightweight-Customisable-Easy-Switch/dp/B0CGCZHGW1/ref=sr_1_11_sspa?dib=eyJ2IjoiMSJ9.hW6LOtg9julE8rQYJd1l-BMX96bssyw4FggCh95LoaBV0lITno6sv2Vs4EdZxxY_AMAiF4OrEYvk7m5okg2rIf9ZYjjAG3NFGzaQcp_pmmxkDkGSNenFmeSncP2VUbMUPYhpUTlzvVtpkcPD7XGlI30X-P3llhFcbrlFPfNRzGAnCTfwgMWkuPK2aCGeLK0Eu4aaHNJJk6jOHz-bN47yRUPx9AR4dcCIdfZXoRBftMk.crSjCr4j2K8W2744DGPPptBO44BIBDXJCR13ylvyMNc&dib_tag=se&keywords=mouse&qid=1715327411&sr=8-11-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
"Zebronics Zeb-Power Wired USB Mouse, 3-Button, 1200 DPI Optical Sensor, Plug & Play, for Windows/Mac",119,-40%,https://www.amazon.in/Zebronics-Zeb-Power-Wired-Mouse-Black/dp/B07L9FW9GF/ref=sr_1_10?dib=eyJ2IjoiMSJ9.hW6LOtg9julE8rQYJd1l-BMX96bssyw4FggCh95LoaBV0lITno6sv2Vs4EdZxxY_AMAiF4OrEYvk7m5okg2rIf9ZYjjAG3NFGzaQcp_pmmxkDkGSNenFmeSncP2VUbMUPYhpUTlzvVtpkcPD7XGlI30X-P3llhFcbrlFPfNRzGAnCTfwgMWkuPK2aCGeLK0Eu4aaHNJJk6jOHz-bN47yRUPx9AR4dcCIdfZXoRBftMk.crSjCr4j2K8W2744DGPPptBO44BIBDXJCR13ylvyMNc&dib_tag=se&keywords=mouse&qid=1715327411&sr=8-10
"Logitech B170 Wireless Mouse, 2.4 GHz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, PC/Mac/Laptop - Black",595,-34%,https://www.amazon.in/Logitech-B170-Wireless-Mouse-Black/dp/B01J0XWYKQ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.hW6LOtg9julE8rQYJd1l-BMX96bssyw4FggCh95LoaBV0lITno6sv2Vs4EdZxxY_AMAiF4OrEYvk7m5okg2rIf9ZYjjAG3NFGzaQcp_pmmxkDkGSNenFmeSncP2VUbMUPYhpUTlzvVtpkcPD7XGlI30X-P3llhFcbrlFPfNRzGAnCTfwgMWkuPK2aCGeLK0Eu4aaHNJJk6jOHz-bN47yRUPx9AR4dcCIdfZXoRBftMk.crSjCr4j2K8W2744DGPPptBO44BIBDXJCR13ylvyMNc&dib_tag=se&keywords=mouse&qid=1715327411&sr=8-9
